€795,000  -€55,000 on 8th Mar 19 	 Kells, Urlanmore, Newmarket on Fergus, Co Clare, V95 XC2P
€475,000 	 Granaghan More, Newmarket On Fergus, Co. Clare, V95 A309
€397,500 	 'Ard san Speir', Ballyloughnane, Ogonnelloe, Killaloe, Clare
€280,000 	 12 Inis Sioda, Shannon, Co Clare, V14 RC04
€115,000 	 36 Ballycasey Park, Shannon, Co Clare, V14 Y135
€60,000 	 Killard, Whitestrand, Doonbeg, Clare
€60,000 	 Killard, Whitestrand, Doonbeg, Clare
€200,000 	 Ballylaan, Liscannor, Clare
€240,000 	 Rose Cottage, Doonass, Clonlara, Clare
€85,000  -€5,000 on 23rd Apr 18 	 46 Mill House, Mill Road, Ennis, Clare
€180,000 	 74 Glenina, Ennis, Clare
€195,000 	 Drumquin, Tiermaclane, Ennis, Co Clare, V95 E5DP
€99,000 	 Church View, Lissycasey, Ennis, Co. Clare, V95W2X0
€135,000 	 1 Cois na Mara, Lahinch, Co Clare
€100,000 	 Sites at Shantraud, Killaloe, Clare
€190,000 	 Ivy House, 9 New Street, Killaloe, Clare
€79,000 	 49 Mill House, Mill Road, Ennis, Clare
€220,000 	 23 Inis Orga, Sixmilebridge, Co Clare, V95 VF29
€275,000 	 Two Pot House, Cregg Lake, Whitegate, Co Clare, V94 R27C
€450,000 	 Mill Farm House, Caheraderry Mill, Lahinch, Co Clare, V95 A3W9
